timestamp,rainfall_intensity_mm_hr,water_level_pct,drain_capacity_pct,humidity_pct,historical_flood,risk_label
2023-08-01 10:00:00,5,20,80,60,NO,LOW
2023-08-01 11:00:00,10,25,80,65,NO,LOW
2023-08-01 12:00:00,15,35,80,70,NO,LOW
2023-08-02 14:00:00,45,65,40,85,NO,MEDIUM
2023-08-02 15:00:00,55,75,40,88,NO,MEDIUM
2023-08-03 18:00:00,85,90,15,95,YES,HIGH
2023-08-03 19:00:00,95,98,5,98,YES,HIGH
2023-08-04 08:00:00,2,40,70,55,NO,LOW
2023-08-05 16:00:00,60,70,60,82,NO,MEDIUM
2023-08-05 17:00:00,110,95,10,96,YES,HIGH
2023-08-06 09:00:00,0,15,90,45,NO,LOW
2023-08-07 20:00:00,35,50,55,75,NO,LOW
2023-08-07 21:00:00,40,55,50,78,NO,MEDIUM
2023-08-08 22:00:00,100,92,15,92,YES,HIGH
2023-08-09 10:00:00,5,25,75,60,NO,LOW
2023-08-10 14:00:00,75,85,25,89,YES,HIGH
2023-08-10 15:00:00,80,88,20,90,YES,HIGH
2023-08-11 07:00:00,12,30,80,62,NO,LOW
2023-08-12 18:00:00,50,72,35,85,NO,MEDIUM
2023-08-13 11:00:00,0,10,95,50,NO,LOW
